Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2079175,GSE70245,SAMN03792351,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079176,GSE70245,SAMN03792352,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079177,GSE70245,SAMN03792353,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079178,GSE70245,SAMN03792354,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079179,GSE70245,SAMN03792355,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079180,GSE70245,SAMN03792356,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079181,GSE70245,SAMN03792357,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079182,GSE70245,SAMN03792358,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079183,GSE70245,SAMN03792359,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079184,GSE70245,SAMN03792360,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079185,GSE70245,SAMN03792361,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079186,GSE70245,SAMN03792337,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079187,GSE70245,SAMN03792390,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079188,GSE70245,SAMN03792391,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079189,GSE70245,SAMN03792392,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079190,GSE70245,SAMN03792393,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079191,GSE70245,SAMN03792394,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079192,GSE70245,SAMN03792395,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079193,GSE70245,SAMN03792396,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079194,GSE70245,SAMN03792397,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079195,GSE70245,SAMN03792398,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079196,GSE70245,SAMN03792399,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079197,GSE70245,SAMN03792400,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079198,GSE70245,SAMN03792401,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079199,GSE70245,SAMN03792402,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079200,GSE70245,SAMN03792403,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079201,GSE70245,SAMN03792404,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079202,GSE70245,SAMN03792405,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079203,GSE70245,SAMN03792406,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079204,GSE70245,SAMN03792407,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079205,GSE70245,SAMN03792408,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079206,GSE70245,SAMN03792409,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079207,GSE70245,SAMN03792410,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079208,GSE70245,SAMN03792411,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079209,GSE70245,SAMN03792412,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079210,GSE70245,SAMN03792413,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
